序号,来源Sheet,单元格地址,公式内容,当前计算值,值类型
1,报告页,E5,=初始输入!C8,2026050701.0,数值
2,报告页,L5,=初始输入!C24,02,文本
3,报告页,Q5,=TODAY(),2026-07-19 00:00:00,其他
4,报告页,F10,"=IF(初始输入!C10="""","""",初始输入!C10)",YAMAZ,文本
5,报告页,R10,"=IF(COUNTA(初始输入!C9:H9)<6, """", 初始输入!C9&""-""&初始输入!D9&""-""&初始输入!E9&""-""&初始输入!F9&""-""&初始输入!G9&""-""&初始输入!H9)",FEAD-5355-ALT-8PK-Aramid-1251,文本
6,报告页,AB10,"=初始输入!C8&""-""&初始输入!C24&""(""&R10&"")""",2026050701-02(FEAD-5355-ALT-8PK-Aramid-1251),文本
7,报告页,J11,"=IF(初始输入!C12="""","""",初始输入!C12)",,空
8,报告页,R11,"=IF(初始输入!C13="""","""",初始输入!C13)",,空
9,报告页,H12,"=IF(初始输入!C19="""","""",初始输入!C19)",,空
10,报告页,H13,"=IF(初始输入!C14="""","""",初始输入!C14)",A new tensioner derived from model 5340.1308110-12 is implemented with the rotation direction reversed. The nominal torque is specified as 25 N·m.,文本
11,报告页,J36,=Input!H17,PK,文本
12,报告页,K36,"=CONCATENATE(""/ "",IF(Y294=""CR"",""Neoprene"",Y294))",/ EPDM,文本
13,报告页,U36,=Input!H23,4.4,数值
14,报告页,J37,=Input!H18,8.0,数值
15,报告页,K37,"=CONCATENATE(""/ "",Input!I18)",/ Aramid,文本
16,报告页,U37,=Input!H21,1.2,数值
17,报告页,I38,"=CONCATENATE(""≤ "",Input!H19)",≤ 0.7,文本
18,报告页,U38,=Input!H22,1.0,数值
19,报告页,J42,"=IF(Input!F17=""YES"",Input!D17,Input!D42)",Automatic,文本
20,报告页,O42,"=IF(Input!F17=""YES"",""Tensioner Arm Length :"",""Tensioner Line Length :"")",Tensioner Arm Length :,文本
21,报告页,U42,"=IF(Input!F17=""YES"",Input!D19,ROUND(Input!F47,2))",46.99718821376445,数值
22,报告页,C43,"=IF(Input!F17=""YES"",""Pivot Point {x,y} [mm] :"",""Starting Point {x,y} [mm] :"")","Pivot Point {x,y} [mm] :",文本
23,报告页,I43,"=IF(Input!F17=""YES"",Input!D18,Input!D43)",125.0,数值
24,报告页,L43,"=IF(Input!F17=""YES"",Input!E18,Input!E43)",10.0,数值
25,报告页,O43,"=IF(Input!F17=""YES"",""Tensioner Arm Angle :"",""Ending Point {x,y} [mm] :"")",Tensioner Arm Angle :,文本
26,报告页,U43,"=IF(Input!F17=""YES"",Input!F28,CONCATENATE(ROUND(Input!D44,2),"" , ""))",5.996881622455319,数值
27,报告页,W43,"=IF(Input!F17=""YES"",""[deg]"",ROUND(Input!E44,2))",[deg],文本
28,报告页,I44,=Input!D22,430.6107216695177,数值
29,报告页,L44,=I44/(9.8*0.454),96.78385365223359,数值
30,报告页,O44,"=IF(Input!F17=""YES"",""Spring Rate Factor :"",""Nominal Point {x,y} [mm] :"")",Spring Rate Factor :,文本
31,报告页,U44,"=IF(Input!F17=""YES"",Input!D21,CONCATENATE(ROUND(Input!G43,2),"" , ""))",0.32,数值
32,报告页,W44,"=IF(Input!F17=""YES"",""[Nm/deg]"",ROUND(Input!G44,2))",[Nm/deg],文本
33,报告页,C50,=Geometry!A5,1.0,数值
34,报告页,E50,=Input!B5,FAN,文本
35,报告页,H50,=Geometry!C5,0.0,数值
36,报告页,K50,=Geometry!E5,0.0,数值
37,报告页,N50,=Geometry!G5,/,文本
38,报告页,Q50,=Geometry!I5,129.0,数值
39,报告页,T50,=Geometry!K5,127.0,数值
40,报告页,W50,=Geometry!M5,Grooved,文本
41,报告页,C51,=Geometry!A6,2.0,数值
42,报告页,E51,=Geometry!B6,ALT,文本
43,报告页,H51,=Geometry!C6,237.78,数值
44,报告页,K51,=Geometry!E6,-64.48,数值
45,报告页,N51,=Geometry!G6,/,文本
46,报告页,Q51,=Geometry!I6,58.0,数值
47,报告页,T51,=Geometry!K6,56.0,数值
48,报告页,W51,=Geometry!M6,Grooved,文本
49,报告页,C52,=Geometry!A7,3.0,数值
50,报告页,E52,=Geometry!B7,IDR,文本
51,报告页,H52,=Geometry!C7,296.0,数值
52,报告页,K52,=Geometry!E7,25.0,数值
53,报告页,N52,=Geometry!G7,75.0,数值
54,报告页,Q52,=Geometry!I7,77.4,数值
55,报告页,T52,=Geometry!K7,79.4,数值
56,报告页,W52,=Geometry!M7,Flat,文本
57,报告页,C53,=Geometry!A8,4.0,数值
58,报告页,E53,=Geometry!B8,AC,文本
59,报告页,H53,=Geometry!C8,274.0,数值
60,报告页,K53,=Geometry!E8,132.5,数值
61,报告页,N53,=Geometry!G8,/,文本
62,报告页,Q53,"=IF(E53=""NA"","" "",Geometry!I8)",112.0,数值
63,报告页,T53,"=IF(E53=""NA"","" "",Geometry!K8)",110.0,数值
64,报告页,W53,=Geometry!M8,Grooved,文本
65,报告页,C54,=Geometry!A9,5.0,数值
66,报告页,E54,=Geometry!B9,TEN,文本
67,报告页,H54,=Geometry!C9,171.74,数值
68,报告页,K54,=Geometry!E9,14.909999999999995,数值
69,报告页,N54,=Geometry!G9,70.0,数值
70,报告页,Q54,"=IF(E54=""NA"","" "",Geometry!I9)",72.4,数值
71,报告页,T54,"=IF(E54=""NA"","" "",Geometry!K9)",74.4,数值
72,报告页,W54,=Geometry!M9,Flat,文本
73,报告页,C55,=Geometry!A10,6.0,数值
74,报告页,E55,=Geometry!B10,NA,文本
75,报告页,H55,=Geometry!C10, ,文本
76,报告页,K55,=Geometry!E10, ,文本
77,报告页,N55,=Geometry!G10, ,文本
78,报告页,Q55,"=IF(E55=""NA"","" "",Geometry!I10)", ,文本
79,报告页,T55,"=IF(E55=""NA"","" "",Geometry!K10)", ,文本
80,报告页,W55,=Geometry!M10, ,文本
81,报告页,C56,=Geometry!A11,7.0,数值
82,报告页,E56,=Geometry!B11,NA,文本
83,报告页,H56,=Geometry!C11, ,文本
84,报告页,K56,=Geometry!E11, ,文本
85,报告页,N56,=Geometry!G11, ,文本
86,报告页,Q56,"=IF(E56=""NA"","" "",Geometry!I11)", ,文本
87,报告页,T56,"=IF(E56=""NA"","" "",Geometry!K11)", ,文本
88,报告页,W56,=Geometry!M11, ,文本
89,报告页,C57,=Geometry!A12,8.0,数值
90,报告页,E57,=Geometry!B12,NA,文本
91,报告页,H57,=Geometry!C12, ,文本
92,报告页,K57,=Geometry!E12, ,文本
93,报告页,N57,=Geometry!G12, ,文本
94,报告页,Q57,"=IF(E57=""NA"","" "",Geometry!I12)", ,文本
95,报告页,T57,"=IF(E57=""NA"","" "",Geometry!K12)", ,文本
96,报告页,W57,=Geometry!M12, ,文本
